id,adj.P.Val.SCoV2.over.RMRP,Log.P.Value.SCoV2.over.RMRP,logFC.SCoV2.over.RMRP,P.Value.SCoV2.over.RMRP,RMRP rep2 ratio,RMRP rep1 ratio,SCoV2 rep2 ratio,SCoV2 rep1 ratio,accession_number,geneSymbol,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,totalIntensity,entry_name
NP_001003.1,0.3258845773,7.756971664,0.536757559,0.1676111221,0.177326648,0.081612273,0.897938719,0.43451532,NP_001003.1,RPS8,2,2,2,NP_001003.1,HOMO SAPIENS,10.5,350,350.1,29.1,29.1,1.78E+08, 40S ribosomal protein S8 GN=RPS8
NP_006816.2,0.3200527436,7.871838702,0.530757559,0.1632360698,0.191326648,0.095612273,0.769938719,0.57851532,NP_006816.2,CKAP4,3,3,3,NP_006816.2,HOMO SAPIENS,4.8,256,256.1,39.98,39.98,4.98E+08, cytoskeleton-associated protein 4 GN=CKAP4
NP_001257328.1,0.3333461878,7.562938655,0.524257559,0.1752694139,0.210326648,0.136612273,0.910938719,0.48451532,NP_001257328.1,TUBA1A,29,13,4,NP_001257328.1|NP_001257329.1|NP_001290043.1|NP_001290044.1|NP_006073.2|NP_116093.1|NP_005992.1|NP_997195.1|NP_001165335.1|NP_079079.1|NP_001342150.1,HOMO SAPIENS,32.3,37,37.1,220.34,73.97,5.58E+09, tubulin alpha-1A chain isoform 1 GN=TUBA1A
NP_001002857.1,0.4441157772,5.39303368,0.519257559,0.2888661359,-1.288673352,0.094612273,-0.195061281,0.03951532,NP_001002857.1,ANXA2,12,10,10,NP_001002857.1|NP_001002858.1,HOMO SAPIENS,27.4,67,67.1,147.27,147.27,8.17E+08, annexin A2 isoform 2 GN=ANXA2
YP_009742612.1,0.330115896,7.628961208,0.515757559,0.1726250746,-0.334673352,-0.289387727,0.171938719,0.23551532,YP_009742612.1,nsp5,2,2,2,YP_009742612.1,SARSCOV2_NC_045512.2,5.8,563,563.1,16.25,16.25,1.05E+08, mat_peptide:3C-like_proteinase:ORF1a_polyprotein:ORF1ab:GN=nsp5
NP_004152.1,0.343679618,7.356335267,0.514757559,0.1838088735,-0.467673352,-0.019387727,0.313938719,0.22851532,NP_004152.1,RAB1A,20,10,6,NP_004152.1|NP_005361.2|NP_057614.1|NP_056358.1|NP_006852.1|NP_001304844.1|NP_002857.1|NP_002858.2|NP_004274.1|NP_612462.1|NP_001161078.1|NP_001295083.1|NP_941959.1|NP_112586.1|NP_002861.1|NP_001006639.1|NP_001020471.2|NP_001157461.1|NP_001157462.1|NP_001191812.1|NP_001191816.1|NP_001272988.1|NP_001317111.1|NP_001317400.1|NP_001350882.1|NP_004569.2|NP_057238.3|NP_059986.1|NP_741995.1|NP_783865.1,HOMO SAPIENS,50.7,80,80.1,127.99,74.1,1.61E+09, ras-related protein Rab-1A isoform 1 GN=RAB1A
NP_001653.1,0.343679618,7.362695243,0.513257559,0.1835398937,-0.416673352,0.003612273,0.280938719,0.33251532,NP_001653.1,ARF5,4,2,2,NP_001653.1,HOMO SAPIENS,8.8,501,501.1,20,20,1.24E+08, ADP-ribosylation factor 5 GN=ARF5
NP_005720.1,0.3402915149,7.449779363,0.512757559,0.1798962306,0.020326648,0.142612273,0.447938719,0.74051532,NP_005720.1,PPIF,5,3,3,NP_005720.1|NP_006338.1|NP_005029.1|NP_006258.3|NP_000934.1|NP_001317439.1|NP_001002901.1,HOMO SAPIENS,9.6,447,447.1,23.11,23.11,4.07E+08," peptidyl-prolyl cis-trans isomerase F, mitochondrial precursor GN=PPIF"
NP_001158886.1,0.3405728191,7.434437143,0.511257559,0.1805328697,0.061326648,0.026612273,0.703938719,0.40651532,NP_001158886.1,LDHA,16,12,12,NP_001158886.1|NP_005557.1|NP_001128711.1|NP_001158887.1|NP_001158888.1|NP_001137543.1|NP_001167568.1|NP_001302466.1|NP_002292.1,HOMO SAPIENS,29.6,64,64.1,154.39,154.39,8.94E+08, L-lactate dehydrogenase A chain isoform 3 GN=LDHA
NP_001291380.1,0.3420503592,7.403914621,0.510257559,0.1818061365,-0.311673352,-0.000387727,0.332938719,0.37551532,NP_001291380.1,PGD,2,2,2,NP_001291380.1|NP_001291381.1|NP_002622.2,HOMO SAPIENS,4.1,456,456.1,22.4,22.4,1.21E+08," 6-phosphogluconate dehydrogenase, decarboxylating isoform 2 GN=PGD"
NP_006089.1,0.347879683,7.215013812,0.504757559,0.1898884803,-0.067673352,-0.127387727,0.609938719,0.20451532,NP_006089.1,RACK1,8,8,8,NP_006089.1,HOMO SAPIENS,18.6,125,125.1,84.68,84.68,5.30E+08, receptor of activated protein C kinase 1 GN=RACK1
NP_000981.1,0.3475757622,7.253141389,0.502757559,0.1882287079,-0.173673352,-0.114387727,0.199938719,0.51751532,NP_000981.1,RPL27A,3,3,3,NP_000981.1,HOMO SAPIENS,18.2,274,274.1,37.95,37.95,2.16E+08, 60S ribosomal protein L27a GN=RPL27A
NP_001407.1,0.3503759201,7.172578085,0.502257559,0.1917530107,-0.207673352,-0.010387727,0.569938719,0.21651532,NP_001407.1,EIF4A1,23,13,4,NP_001407.1|NP_001191439.1,HOMO SAPIENS,33.2,53,53.1,167.06,55.05,2.44E+09, eukaryotic initiation factor 4A-I isoform 1 GN=EIF4A1
NP_002256.2,0.345143645,7.295141911,0.501257559,0.1864171263,0.008326648,-0.071387727,0.569938719,0.36951532,NP_002256.2,KPNB1,2,2,2,NP_002256.2,HOMO SAPIENS,2.2,474,474.1,21.57,21.57,1.68E+07, importin subunit beta-1 isoform 1 GN=KPNB1
NP_001269332.1,0.3637542572,6.908705804,0.492257559,0.2037649206,-0.215673352,0.030612273,0.605938719,0.19351532,NP_001269332.1,MDH2,3,3,3,NP_001269332.1|NP_001269333.1|NP_005909.2,HOMO SAPIENS,10.8,244,244.1,42.65,42.65,1.82E+08," malate dehydrogenase, mitochondrial isoform 2 precursor GN=MDH2"
NP_001035809.1,0.3650123746,6.871552841,0.486257559,0.2055155634,0.080326648,-0.013387727,0.716938719,0.32251532,NP_001035809.1,ABCE1,3,3,3,NP_001035809.1,HOMO SAPIENS,4.8,219,219.1,46.46,46.46,2.90E+07, ATP-binding cassette sub-family E member 1 GN=ABCE1
NP_064504.2,0.4232250282,5.720459545,0.464257559,0.2678884846,0.584326648,-0.134387727,0.343938719,1.03451532,NP_064504.2,ZC3HAV1,7,6,6,NP_064504.2|NP_078901.3,HOMO SAPIENS,7.9,140,140.1,71.85,71.85,7.52E+07, zinc finger CCCH-type antiviral protein 1 isoform 1 GN=ZC3HAV1
NP_001185792.1,0.3990137704,6.189303521,0.461257559,0.2404748419,-0.096673352,0.113612273,0.761938719,0.17751532,NP_001185792.1,CPNE1,2,2,2,NP_001185792.1|NP_003906.2|NP_690902.1,HOMO SAPIENS,2.7,522,522.1,18.46,18.46,1.58E+08, copine-1 isoform c GN=CPNE1
NP_057406.2,0.3916580439,6.308123171,0.459757559,0.2339848199,-0.264673352,0.222612273,0.438938719,0.43851532,NP_057406.2,RAB14,1,2,1,NP_057406.2,HOMO SAPIENS,9.3,80,80.6,23.2,6.74,1.19E+07, ras-related protein Rab-14 GN=RAB14
NP_001143.2,0.4010657835,6.132739538,0.452257559,0.2436273527,0.185326648,-0.041387727,0.762938719,0.28551532,NP_001143.2,SLC25A5,18,12,5,NP_001143.2,HOMO SAPIENS,30.2,63,63.1,156.44,68.25,3.13E+09, ADP/ATP translocase 2 GN=SLC25A5
NP_001291217.1,0.4134811381,5.893584962,0.443757559,0.2574195364,-0.330673352,0.265612273,0.481938719,0.34051532,NP_001291217.1,RPSA,4,3,3,NP_001291217.1|NP_001342212.1|NP_002286.2,HOMO SAPIENS,10.6,329,329.1,31.24,31.24,1.48E+07, 40S ribosomal protein SA isoform 2 GN=RPSA
NP_001274522.1,0.4114937106,5.950149507,0.441757559,0.2540885233,0.333326648,0.098612273,0.892938719,0.42251532,NP_001274522.1,CLIC1,3,2,2,NP_001274522.1,HOMO SAPIENS,9.9,311,311.1,34.18,34.18,6.65E+07, chloride intracellular channel protein 1 GN=CLIC1
NP_001087.2,0.4003507277,6.150744331,0.438257559,0.2426194238,0.138326648,0.089612273,0.509938719,0.59451532,NP_001087.2,ACLY,3,3,3,NP_001087.2|NP_001290203.1|NP_001290204.1|NP_942127.1,HOMO SAPIENS,2.8,375,375.1,27.6,27.6,6.54E+07, ATP-citrate synthase isoform 1 GN=ACLY
NP_001229573.1,0.4128432363,5.92586502,0.437757559,0.2555132924,-0.351673352,-0.045387727,0.421938719,0.05651532,NP_001229573.1,RAB2A,6,3,3,NP_001229573.1|NP_002856.1,HOMO SAPIENS,20.7,236,236.1,44.34,44.34,1.50E+08, ras-related protein Rab-2A isoform b GN=RAB2A
NP_057215.3,0.407582365,6.001715821,0.432757559,0.2510894225,0.040326648,-0.008387727,0.565938719,0.33151532,NP_057215.3,RAB10,3,5,3,NP_057215.3,HOMO SAPIENS,24,80,80.3,62.1,35.5,6.02E+07, ras-related protein Rab-10 GN=RAB10
NP_001259004.1,0.4211928442,5.75921762,0.429757559,0.2655083832,0.354326648,-0.146387727,0.568938719,0.49851532,NP_001259004.1,USP10,3,3,3,NP_001259004.1|NP_005144.2,HOMO SAPIENS,3.1,465,465.1,21.83,21.83,1.17E+07, ubiquitin carboxyl-terminal hydrolase 10 isoform 1 GN=USP10
NP_006316.1,0.4348486896,5.52204349,0.424757559,0.2804113905,0.348326648,0.034612273,0.903938719,0.32851532,NP_006316.1,RAN,8,4,4,NP_006316.1|NP_001287725.1,HOMO SAPIENS,18,170,170.1,60.54,60.54,8.66E+08, GTP-binding nuclear protein Ran isoform 1 GN=RAN
NP_006079.1,0.4134811381,5.88355359,0.424257559,0.2580148135,0.204326648,0.082612273,0.526938719,0.60851532,NP_006079.1,TUBB4B,6,13,3,NP_006079.1|NP_001276052.1|NP_001276056.1|NP_001276058.1|NP_001276059.1|NP_001184110.1|NP_817124.1,HOMO SAPIENS,30.7,41,41.2,191.42,49.14,6.89E+07, tubulin beta-4B chain GN=TUBB4B
NP_002626.1,0.4479932988,5.317184269,0.416257559,0.2939554883,0.326326648,-0.005387727,0.891938719,0.26151532,NP_002626.1,SLC25A3,17,6,6,NP_002626.1|NP_005879.1,HOMO SAPIENS,13.5,118,118.1,88.88,88.88,5.08E+09," phosphate carrier protein, mitochondrial isoform b precursor GN=SLC25A3"
NP_001344660.1,0.4348486896,5.538222814,0.415257559,0.2793686818,0.192326648,0.032612273,0.748938719,0.30651532,NP_001344660.1,EIF2S3B,5,3,3,NP_001344660.1|NP_001344663.1|NP_001406.1,HOMO SAPIENS,5.7,226,226.1,45.5,45.5,4.39E+07, putative eukaryotic translation initiation factor 2 subunit 3-like protein isoform 2 GN=EIF2S3B
NP_001265432.1,0.4510073908,5.278590782,0.395757559,0.2965793587,0.131326648,0.073612273,0.677938719,0.31851532,NP_001265432.1,STT3A,4,4,4,NP_001265432.1|NP_001265433.1,HOMO SAPIENS,5.9,190,190.1,54,54,3.96E+07, dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A isoform a GN=STT3A
NP_001273438.1,0.4545648675,5.235017241,0.391257559,0.29956997,0.217326648,-0.026387727,0.577938719,0.39551532,NP_001273438.1,SLC35B2,2,2,2,NP_001273438.1|NP_001273440.1|NP_835361.1|NP_001273442.1|NP_001273446.1|NP_001273448.1,HOMO SAPIENS,5.1,361,361.1,28.32,28.32,4.81E+07, adenosine 3'-phospho 5'-phosphosulfate transporter 1 isoform b GN=SLC35B2
NP_057479.2,0.4656262696,5.083649955,0.388257559,0.310195151,-0.053673352,0.013612273,0.596938719,0.13951532,NP_057479.2,HACD3,5,2,2,NP_057479.2,HOMO SAPIENS,8,376,376.1,27.56,27.56,1.30E+08, very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 GN=HACD3
NP_006286.1,0.4688722154,5.034840441,0.382757559,0.3137010381,0.331326648,0.064612273,0.728938719,0.43251532,NP_006286.1,VARS,2,2,2,NP_006286.1,HOMO SAPIENS,1.3,402,402.1,25.51,25.51,1.64E+07, valine--tRNA ligase GN=VARS
NP_037468.1,0.4644532745,5.113324025,0.381257559,0.3080829027,-0.100673352,-0.027387727,0.399938719,0.23451532,NP_037468.1,SEC61A1,4,3,3,NP_037468.1|NP_001136099.1|NP_001136100.1|NP_060614.2,HOMO SAPIENS,5.6,298,298.1,35.39,35.39,9.10E+07, protein transport protein Sec61 subunit alpha isoform 1 GN=SEC61A1
NP_001395.1,0.4658220788,5.072494368,0.379757559,0.3109929638,-0.162673352,0.061612273,0.337938719,0.32051532,NP_001395.1,EEF1G,7,6,6,NP_001395.1,HOMO SAPIENS,10.5,175,175.1,59.06,59.06,2.05E+08, elongation factor 1-gamma GN=EEF1G
NP_060654.1,0.4743308399,4.951830843,0.371757559,0.3197546845,0.216326648,0.059612273,0.548938719,0.47051532,NP_060654.1,ARL8B,4,3,3,NP_060654.1|NP_620150.1,HOMO SAPIENS,12.3,310,310.1,34.3,34.3,1.60E+08, ADP-ribosylation factor-like protein 8B GN=ARL8B
NP_006752.1,0.4761737444,4.912288366,0.370757559,0.3226793426,0.082326648,0.041612273,0.551938719,0.31351532,NP_006752.1,YWHAE,4,4,4,NP_006752.1,HOMO SAPIENS,16.4,215,215.1,47.34,47.34,1.57E+08, 14-3-3 protein epsilon GN=YWHAE
NP_001185730.1,0.4890616894,4.777981693,0.364257559,0.3328141869,0.207326648,-0.088387727,0.399938719,0.44751532,NP_001185730.1,EIF4G3,2,2,2,NP_001185730.1|NP_001185731.1|NP_003751.2,HOMO SAPIENS,0.7,573,573.1,15.93,15.93,3.55E+07, eukaryotic translation initiation factor 4 gamma 3 isoform 1 GN=EIF4G3
NP_001019397.1,0.5057768193,4.604067602,0.355757559,0.3464122488,-0.379673352,-0.015387727,0.165938719,0.15051532,NP_001019397.1,ARF1,6,3,3,NP_001019397.1|NP_001650.1,HOMO SAPIENS,16,327,327.1,31.28,31.28,1.27E+08, ADP-ribosylation factor 1 GN=ARF1
NP_000025.1,0.5382142089,4.14799718,0.351757559,0.3847691837,-0.572673352,0.208612273,-0.012061281,0.35151532,NP_000025.1,ALDOA,11,7,7,NP_000025.1|NP_001230106.1|P00883,HOMO SAPIENS,17.5,130,130.1,80.53,80.53,2.88E+08, fructose-bisphosphate aldolase A isoform 1 GN=ALDOA
NP_001243463.1,0.5242163666,4.350359876,0.348757559,0.3672518671,0.451326648,0.032612273,0.790938719,0.39051532,NP_001243463.1,SLC25A1,2,2,2,NP_001243463.1,HOMO SAPIENS,5.6,517,517.1,18.86,18.86,6.31E+07," tricarboxylate transport protein, mitochondrial isoform b GN=SLC25A1"
NP_002887.2,0.5164886564,4.459492734,0.346757559,0.358138266,-0.173673352,0.177612273,0.384938719,0.31251532,NP_002887.2,RBM4,6,6,6,NP_002887.2|NP_113680.1|NP_001185773.1|NP_001185772.1|NP_001273064.1|NP_001185774.1,HOMO SAPIENS,15.9,162,162.1,62.04,62.04,1.62E+08, RNA-binding protein 4 isoform 1 GN=RBM4
NP_001310245.1,0.5382142089,4.163871112,0.325757559,0.3833653779,-0.020673352,0.049612273,0.460938719,0.21951532,NP_001310245.1,TGM2,4,4,4,NP_001310245.1|NP_001310246.1|NP_001310247.1|NP_945189.1,HOMO SAPIENS,4.6,227,227.1,45.38,45.38,5.06E+07, protein-glutamine gamma-glutamyltransferase 2 isoform a GN=TGM2
NP_001290556.1,0.5502129769,3.974145551,0.325257559,0.4004842535,0.207326648,-0.102387727,0.630938719,0.12451532,NP_001290556.1,MLEC,2,2,2,NP_001290556.1|NP_055545.1|NP_001290557.1,HOMO SAPIENS,10.5,422,422.1,24.59,24.59,3.01E+07, malectin isoform 2 GN=MLEC
NP_149080.2,0.5430645812,4.065957334,0.320757559,0.392106703,-0.149673352,-0.218387727,0.282938719,-0.00948468,NP_149080.2,ZCCHC3,2,2,2,NP_149080.2,HOMO SAPIENS,5.7,469,469.1,21.7,21.7,8.76E+06, zinc finger CCHC domain-containing protein 3 GN=ZCCHC3
NP_001029102.1,0.5491671334,3.991429256,0.313757559,0.3988936055,0.142326648,0.133612273,0.541938719,0.36151532,NP_001029102.1,UBA52,21,6,6,NP_001029102.1|NP_001129064.1|NP_001268645.1|NP_066289.3|NP_001307950.1|NP_001307951.1,HOMO SAPIENS,42.1,116,116.1,91.34,91.34,7.12E+09, ubiquitin-60S ribosomal protein L40 isoform 1 precursor GN=UBA52
NP_000960.2,0.5506254734,3.954289474,0.310757559,0.402319472,-0.058673352,-0.127387727,0.164938719,0.27051532,NP_000960.2,RPL5,12,9,9,NP_000960.2,HOMO SAPIENS,19.1,105,105.1,102.18,102.18,1.04E+09, 60S ribosomal protein L5 GN=RPL5
NP_003396.1,0.5593648932,3.851970979,0.309757559,0.4119105374,-0.484673352,-0.376387727,0.068938719,-0.31048468,NP_003396.1,YWHAH,3,3,3,NP_003396.1,HOMO SAPIENS,10.9,235,235.1,44.38,44.38,1.58E+08, 14-3-3 protein eta GN=YWHAH
NP_001293082.1,0.5992354103,3.494202303,0.299257559,0.4472802991,0.268326648,0.026612273,0.787938719,0.10551532,NP_001293082.1,CCT5,3,3,3,NP_001293082.1|NP_001293085.1|NP_036205.1|NP_001293083.1|NP_001293084.1,HOMO SAPIENS,7.1,398,398.1,25.71,25.71,1.56E+09, T-complex protein 1 subunit epsilon isoform b GN=CCT5
NP_001091742.1,0.5994647714,3.484212535,0.290257559,0.4483103304,0.207326648,0.090612273,0.698938719,0.17951532,NP_001091742.1,HMGCS1,5,4,4,NP_001091742.1|NP_001311151.1,HOMO SAPIENS,7.8,155,155.1,63.53,63.53,7.55E+07," hydroxymethylglutaryl-CoA synthase, cytoplasmic isoform 1 GN=HMGCS1"
NP_001280241.1,0.602966224,3.392363758,0.284257559,0.4578925992,0.193326648,0.166612273,0.732938719,0.19551532,NP_001280241.1,DARS,4,4,4,NP_001280241.1|NP_001340.2,HOMO SAPIENS,8.7,241,241.1,43.1,43.1,4.92E+07," aspartate--tRNA ligase, cytoplasmic isoform 2 GN=DARS"
NP_002617.3,0.614688925,3.22068555,0.279757559,0.4763557864,0.230326648,-0.035387727,0.709938719,0.04451532,NP_002617.3,PFKL,3,3,3,NP_002617.3|NP_001002021.2|NP_000280.1|NP_001160158.1|NP_001229268.1|NP_001309996.1|NP_001309997.1|NP_001309998.1|NP_001309999.1|NP_001310000.1|NP_001310002.1|NP_001341664.1|NP_001341669.1|NP_001341670.1|NP_001341674.1|NP_001341675.1|NP_001341676.1|NP_002618.1,HOMO SAPIENS,2.8,330,330.1,31.07,31.07,1.53E+09," ATP-dependent 6-phosphofructokinase, liver type isoform b GN=PFKL"
NP_001284347.1,0.602966224,3.360211804,0.277757559,0.4612950768,0.128326648,-0.245387727,0.141938719,0.29651532,NP_001284347.1,HNRNPM,11,7,7,NP_001284347.1|NP_005959.2|NP_112480.2,HOMO SAPIENS,10.5,135,135.1,73.55,73.55,2.24E+08, heterogeneous nuclear ribonucleoprotein M isoform c GN=HNRNPM
NP_009058.2,0.614688925,3.222418475,0.276257559,0.4761657484,0.140326648,-0.008387727,0.649938719,0.03451532,NP_009058.2,VIL1,11,8,8,NP_009058.2,HOMO SAPIENS,9.6,89,89.1,114.81,114.81,2.31E+08, villin-1 GN=VIL1
NP_068758.3,0.602966224,3.387777973,0.274757559,0.4583763507,0.052326648,-0.106387727,0.249938719,0.24551532,NP_068758.3,FKBP10,2,2,2,NP_068758.3,HOMO SAPIENS,2.2,506,506.1,19.49,19.49,9.33E+06, peptidyl-prolyl cis-trans isomerase FKBP10 precursor GN=FKBP10
NP_004492.2,0.614688925,3.220027691,0.268757559,0.476427949,0.150326648,0.080612273,0.591938719,0.17651532,NP_004492.2,HNRNPU,9,7,7,NP_004492.2|NP_114032.2,HOMO SAPIENS,8,132,132.1,75.62,75.62,5.01E+08, heterogeneous nuclear ribonucleoprotein U isoform b GN=HNRNPU
NP_001316603.1,0.614688925,3.223260049,0.267757559,0.4760734861,0.279326648,0.080612273,0.606938719,0.28851532,NP_001316603.1,CAND1,2,2,2,NP_001316603.1|NP_001316605.1|NP_060918.2,HOMO SAPIENS,1.5,451,451.1,22.85,22.85,1.07E+07, cullin-associated NEDD8-dissociated protein 1 isoform 2 GN=CAND1
NP_065143.2,0.6238326205,3.103416974,0.260257559,0.4893936192,0.151326648,-0.089387727,0.451938719,0.13051532,NP_065143.2,ATP13A1,3,3,3,NP_065143.2,HOMO SAPIENS,2.5,251,251.1,41.01,41.01,2.07E+07, manganese-transporting ATPase 13A1 GN=ATP13A1
NP_002287.2,0.66260072,2.659674109,0.259257559,0.5420415632,-0.850673352,0.133612273,0.166938719,-0.36548468,NP_002287.2,LBR,3,3,3,NP_002287.2,HOMO SAPIENS,4.3,318,318.1,33.05,33.05,9.12E+07, lamin-B receptor GN=LBR
NP_055317.1,0.6419554487,2.944114555,0.258257559,0.5076782345,0.271326648,0.047612273,0.736938719,0.09851532,NP_055317.1,PRPF19,3,3,3,NP_055317.1,HOMO SAPIENS,5.7,352,352.1,28.87,28.87,5.63E+07, pre-mRNA-processing factor 19 GN=PRPF19
NP_112243.1,0.648334502,2.854220899,0.242257559,0.5182960632,0.107326648,-0.028387727,0.454938719,0.10851532,NP_112243.1,RAB1B,4,10,3,NP_112243.1,HOMO SAPIENS,53.7,80,80.2,122.06,35.58,1.22E+08, ras-related protein Rab-1B GN=RAB1B
NP_000997.1,0.6438614552,2.915532311,0.242257559,0.5110304387,-0.150673352,-0.170387727,0.074938719,0.08851532,NP_000997.1,RPS3A,2,2,2,NP_000997.1,HOMO SAPIENS,7.5,502,502.1,19.82,19.82,3.02E+07, 40S ribosomal protein S3a isoform 1 GN=RPS3A
NP_001104547.1,0.6792718229,2.513893393,0.234257559,0.5605452292,-0.423673352,0.236612273,-0.143061281,0.42451532,NP_001104547.1,EZR,3,3,3,NP_001104547.1,HOMO SAPIENS,4.7,419,419.1,24.68,24.68,1.71E+07, ezrin GN=EZR
NP_006817.1,0.6499036311,2.78190028,0.233257559,0.5269992195,0.057326648,0.094612273,0.269938719,0.34851532,NP_006817.1,YWHAQ,4,3,1,NP_006817.1,HOMO SAPIENS,12.6,186,186.1,55.58,26,1.69E+08, 14-3-3 protein theta GN=YWHAQ
NP_004902.1,0.6517303339,2.762044286,0.231757559,0.5294141824,0.102326648,0.073612273,0.345938719,0.29351532,NP_004902.1,PDIA4,11,10,10,NP_004902.1,HOMO SAPIENS,13.6,97,97.1,109.78,109.78,1.18E+08, protein disulfide-isomerase A4 precursor GN=PDIA4
NP_005711.1,0.66088899,2.682086638,0.227757559,0.5392514682,0.262326648,0.070612273,0.466938719,0.32151532,NP_005711.1,ARPC1B,3,2,2,NP_005711.1,HOMO SAPIENS,5.3,468,468.1,21.75,21.75,5.67E+07, actin-related protein 2/3 complex subunit 1B GN=ARPC1B
NP_001627.2,0.674540706,2.553579876,0.224257559,0.5554462159,0.257326648,0.018612273,0.588938719,0.13551532,NP_001627.2,SLC25A6,3,8,2,NP_001627.2,HOMO SAPIENS,21.8,63,63.2,101.36,31.14,1.36E+08, ADP/ATP translocase 3 GN=SLC25A6
NP_005304.3,0.6702963233,2.601925566,0.224257559,0.5492972735,0.308326648,-0.033387727,0.429938719,0.29351532,NP_005304.3,PDIA3,10,9,9,NP_005304.3|A5D7E8|P38657,HOMO SAPIENS,18.6,78,78.1,131.03,131.03,1.91E+08, protein disulfide-isomerase A3 precursor GN=PDIA3
YP_009742615.1,0.7095431404,2.264637697,0.202757559,0.5936578711,-0.602673352,-0.143387727,-0.286061281,-0.05448468,YP_009742615.1,nsp8,2,2,2,YP_009742615.1,SARSCOV2_NC_045512.2,13.1,521,521.1,18.49,18.49,1.15E+07, mat_peptide:nsp8:ORF1a_polyprotein:ORF1ab:GN=nsp8
NP_006861.1,0.7209005946,2.180824228,0.191257559,0.6052260007,0.270326648,0.047612273,0.323938719,0.37651532,NP_006861.1,DSTN,2,2,2,NP_006861.1|NP_001011546.1,HOMO SAPIENS,15.1,346,346.1,29.53,29.53,5.38E+07, destrin isoform a GN=DSTN
NP_057132.2,0.7233322447,2.144023023,0.189257559,0.6103763498,0.310326648,0.077612273,0.468938719,0.29751532,NP_057132.2,ISOC1,2,2,2,NP_057132.2,HOMO SAPIENS,6,383,383.1,26.67,26.67,2.57E+07, isochorismatase domain-containing protein 1 GN=ISOC1
NP_004530.1,0.7338813247,2.051748931,0.182757559,0.6234837042,-0.134673352,-0.130387727,-0.111061281,0.21151532,NP_004530.1,NARS,2,2,2,NP_004530.1,HOMO SAPIENS,3.1,534,534.1,17.91,17.91,9.45E+06," asparagine--tRNA ligase, cytoplasmic GN=NARS"
NP_001018080.1,0.7428324306,1.984453402,0.177257559,0.6332200531,-0.289673352,0.007612273,0.035938719,0.03651532,NP_001018080.1,CORO1B,6,6,6,NP_001018080.1,HOMO SAPIENS,10,160,160.1,62.18,62.18,2.83E+08, coronin-1B GN=CORO1B
NP_001009186.1,0.7638128132,1.819940111,0.166257559,0.6576669065,0.313326648,-0.098387727,0.300938719,0.24651532,NP_001009186.1,CCT6A,3,2,2,NP_001009186.1|NP_001753.1,HOMO SAPIENS,3.2,486,486.1,20.91,20.91,2.21E+07, T-complex protein 1 subunit zeta isoform b GN=CCT6A
NP_001001323.1,0.7678485105,1.789833852,0.164257559,0.6622418386,0.318326648,0.098612273,0.561938719,0.18351532,NP_001001323.1,ATP2B1,2,2,2,NP_001001323.1|NP_001673.2|NP_001001331.1|NP_001001344.1|NP_001001396.1|NP_001317540.1|NP_001340493.1|NP_001350791.1|NP_001675.3|NP_068768.2,HOMO SAPIENS,1.8,354,354.1,28.83,28.83,3.61E+07, plasma membrane calcium-transporting ATPase 1 isoform 1a GN=ATP2B1
NP_001280141.1,0.772365935,1.757149994,0.160257559,0.6672444969,0.209326648,0.036612273,0.434938719,0.13151532,NP_001280141.1,TUBB,40,14,4,NP_001280141.1|NP_821133.1|NP_001280143.1|NP_001280144.1|NP_001060.1|NP_821080.1|NP_001297244.1|NP_001280142.1|NP_001345618.1|NP_001290453.1|NP_001290455.1|NP_001290456.1|NP_001290457.1|NP_001290458.1|NP_110400.1,HOMO SAPIENS,33.1,41,41.1,204.9,62.62,3.03E+09, tubulin beta chain isoform a GN=TUBB
NP_000678.1,0.7874461871,1.61593328,0.152257559,0.6892974503,0.285326648,-0.003387727,0.525938719,0.06051532,NP_000678.1,AHCY,15,10,10,NP_000678.1|NP_001155238.1|NP_001309015.1|NP_001124192.1|NP_001124194.2|NP_001124195.1|NP_001229602.1|NP_006612.2|NP_056143.1,HOMO SAPIENS,22.9,109,109.1,97.01,97.01,6.27E+08, adenosylhomocysteinase isoform 1 GN=AHCY
NP_002130.2,0.7855292118,1.662204585,0.151257559,0.6819924102,0.066326648,0.016612273,0.298938719,0.08651532,NP_002130.2,RBMX,5,5,5,NP_002130.2|NP_001156008.1,HOMO SAPIENS,10.4,188,188.1,54.68,54.68,3.36E+07," RNA-binding motif protein, X chromosome isoform 1 GN=RBMX"
NP_004791.1,0.7874461871,1.621749488,0.151257559,0.6883749393,-0.432673352,-0.247387727,-0.404061281,0.02651532,NP_004791.1,TM9SF2,2,2,2,NP_004791.1,HOMO SAPIENS,2.2,496,496.1,20.3,20.3,5.37E+07, transmembrane 9 superfamily member 2 precursor GN=TM9SF2
